subjnum,TaskOrder,block_Norm,CD,VD,suppress_score
1,VST_first,1,0.6665982452838846,0.6912197616327884,0.02462151634890386
1,VST_first,2,0.6569628621557256,0.7297749162916377,0.07281205413591207
1,VST_first,3,0.6610236460899671,0.702738201504942,0.04171455541497493
1,VST_first,4,0.6947450789794679,0.6703420613866297,-0.02440301759283825
1,VST_first,5,0.6795708577025128,0.6005592381358451,-0.07901161956666769
1,VST_first,6,0.6088502456957688,0.719352333175989,0.11050208748022017
1,VST_first,7,0.6763181035649072,0.7257058891739735,0.049387785609066315
1,VST_first,8,0.658537354371364,0.7210811799537681,0.06254382558240412
2,RSVP_first,1,0.6961155088349338,0.6562737389735039,-0.03984176986142984
2,RSVP_first,2,0.7615918766082534,0.6647167235572601,-0.09687515305099337
2,RSVP_first,3,0.5875477914959336,0.5943374132324711,0.006789621736537521
2,RSVP_first,4,0.7388859741591106,0.6863717830643211,-0.0525141910947895
2,RSVP_first,5,0.7574093024184497,0.754788985008693,-0.002620317409756767
2,RSVP_first,6,0.7118970836761711,0.6420320858052999,-0.06986499787087119
2,RSVP_first,7,0.6978431329544136,0.7457535617460073,0.047910428791593684
2,RSVP_first,8,0.7321808223625996,0.718563063648111,-0.01361775871448867
3,VST_first,1,0.7949541074648269,0.7710699120055834,-0.023884195459243474
3,VST_first,2,0.7391148528348508,0.8093122269685733,0.07019737413372251
3,VST_first,3,0.7059815494887846,0.6300086594531261,-0.07597289003565844
3,VST_first,4,0.8131019206938939,0.7404909976893779,-0.07261092300451599
3,VST_first,5,0.6736017571215136,0.7846679806857626,0.111066223564249
3,VST_first,6,0.7005147153550602,0.7491956134705439,0.048680898115483706
3,VST_first,7,0.7722486738908454,0.7356681589611056,-0.036580514929739794
3,VST_first,8,0.7300739629293472,0.8063595647590882,0.07628560182974098
4,RSVP_first,1,0.6575016616771473,0.5453599793793774,-0.11214168229776988
4,RSVP_first,2,0.6993500402043435,0.6607637509148413,-0.03858628928950225
4,RSVP_first,3,0.6633949539714966,0.6085893658281796,-0.05480558814331704
4,RSVP_first,4,0.6704983892612839,0.7308498475391784,0.060351458277894454
4,RSVP_first,5,0.7025094163341703,0.6768104125330452,-0.02569900380112511
4,RSVP_first,6,0.6533509562379893,0.7378208135919389,0.08446985735394952
4,RSVP_first,7,0.727721384887504,0.7561869845558326,0.028465599668328512
4,RSVP_first,8,0.6617791981303461,0.7026888805372375,0.04090968240689141
5,VST_first,1,0.7141313137011388,0.7184432886238631,0.004311974922724282
5,VST_first,2,0.7350017625092747,0.719795893525261,-0.01520586898401377
