From State,CD -> Efficient Search,CD -> Distractor Engagement,VD -> Efficient Search,VD -> Distractor Engagement
Efficient Search,0.33718308444325895,0.662816915556741,0.3489155786668506,0.6510844213331494
Distractor Engagement,0.3716811558406157,0.6283188441593842,0.3655822145190344,0.6344177854809657
