TaskOrder,condition,block_Norm,M_efficient,SE_efficient,M_engaged,SE_engaged
VST_first,CD,1,0.31921016016038634,0.00990409541522526,0.6807898398396136,0.009904095415225259
VST_first,CD,2,0.3042758698865735,0.009448967313920798,0.6957241301134265,0.009448967313920798
VST_first,CD,3,0.3009595154580961,0.009501284027462706,0.6990404845419039,0.009501284027462706
VST_first,CD,4,0.3029396678984089,0.0098133731388519,0.6970603321015911,0.009813373138851899
VST_first,CD,5,0.3020371164085933,0.009658693289896778,0.6979628835914067,0.009658693289896778
VST_first,CD,6,0.3018226724879097,0.010253295249795588,0.6981773275120903,0.010253295249795586
VST_first,CD,7,0.2979440301077869,0.010077863390405983,0.7020559698922131,0.010077863390405981
VST_first,CD,8,0.29398264364521964,0.010022589967717455,0.7060173563547804,0.010022589967717455
VST_first,VD,1,0.31910349818831146,0.010454535255822043,0.6808965018116885,0.010454535255822043
VST_first,VD,2,0.30985637095783564,0.009857699630330546,0.6901436290421644,0.009857699630330547
VST_first,VD,3,0.3086029919487901,0.010079428761980685,0.69139700805121,0.010079428761980687
VST_first,VD,4,0.3026974854948975,0.009554980795537833,0.6973025145051025,0.009554980795537835
VST_first,VD,5,0.30176977640966957,0.009888436769474972,0.6982302235903304,0.009888436769474972
VST_first,VD,6,0.30224532918754615,0.009346664796252195,0.6977546708124538,0.009346664796252197
VST_first,VD,7,0.2993136237100151,0.009753698110135767,0.7006863762899849,0.009753698110135768
VST_first,VD,8,0.2975735681325811,0.010174068831884733,0.7024264318674189,0.01017406883188473
RSVP_first,CD,1,0.3051016690792553,0.010082925104455104,0.6948983309207447,0.010082925104455104
RSVP_first,CD,2,0.29996223134408095,0.010282293702007115,0.700037768655919,0.010282293702007115
RSVP_first,CD,3,0.3026517591473067,0.00998205393527402,0.6973482408526933,0.00998205393527402
RSVP_first,CD,4,0.30778170069323835,0.00993742932527693,0.6922182993067617,0.00993742932527693
RSVP_first,CD,5,0.29216077475970936,0.009586897790422296,0.7078392252402906,0.009586897790422296
RSVP_first,CD,6,0.3112561534377171,0.01052161413704998,0.6887438465622828,0.010521614137049981
RSVP_first,CD,7,0.3144782623194351,0.009984525382394548,0.6855217376805649,0.009984525382394548
RSVP_first,CD,8,0.29559683119126917,0.009904157916016657,0.7044031688087309,0.009904157916016657
RSVP_first,VD,1,0.3195112576525934,0.010200885167361626,0.6804887423474065,0.010200885167361628
RSVP_first,VD,2,0.2963555582976781,0.009785828147794733,0.7036444417023219,0.009785828147794733
RSVP_first,VD,3,0.299556162026549,0.009792851409788118,0.700443837973451,0.009792851409788118
RSVP_first,VD,4,0.311289057389169,0.009421707931363488,0.688710942610831,0.009421707931363488
RSVP_first,VD,5,0.2995558846489636,0.010645124703737257,0.7004441153510363,0.010645124703737257
RSVP_first,VD,6,0.29913981108842574,0.009672044390965804,0.7008601889115742,0.009672044390965803
RSVP_first,VD,7,0.2956675163007974,0.009832465631298077,0.7043324836992025,0.009832465631298075
RSVP_first,VD,8,0.2984257276526703,0.010090632280538227,0.7015742723473297,0.010090632280538228
