subjnum,block_Norm,CD,VD,suppress_score
1,1,0.6665982452838846,0.6912197616327884,0.02462151634890386
1,2,0.6569628621557256,0.7297749162916377,0.07281205413591207
1,3,0.6610236460899671,0.702738201504942,0.04171455541497493
1,4,0.6947450789794679,0.6703420613866297,-0.02440301759283825
1,5,0.6795708577025128,0.6005592381358451,-0.07901161956666769
1,6,0.6088502456957688,0.719352333175989,0.11050208748022017
1,7,0.6763181035649072,0.7257058891739735,0.049387785609066315
1,8,0.658537354371364,0.7210811799537681,0.06254382558240412
3,1,0.7949541074648269,0.7710699120055834,-0.023884195459243474
3,2,0.7391148528348508,0.8093122269685733,0.07019737413372251
3,3,0.7059815494887846,0.6300086594531261,-0.07597289003565844
3,4,0.8131019206938939,0.7404909976893779,-0.07261092300451599
3,5,0.6736017571215136,0.7846679806857626,0.111066223564249
3,6,0.7005147153550602,0.7491956134705439,0.048680898115483706
3,7,0.7722486738908454,0.7356681589611056,-0.036580514929739794
3,8,0.7300739629293472,0.8063595647590882,0.07628560182974098
5,1,0.7141313137011388,0.7184432886238631,0.004311974922724282
5,2,0.7350017625092747,0.719795893525261,-0.01520586898401377
5,3,0.6977810982971714,0.7384976264047829,0.040716528107611505
5,4,0.7436103151676532,0.7147418191820148,-0.028868495985638343
5,5,0.6658714911837879,0.6841208679639006,0.018249376780112736
5,6,0.7053389626163399,0.6933033305169304,-0.012035632099409499
5,7,0.7172978593978058,0.6953326325040039,-0.02196522689380187
5,8,0.7045212740032377,0.6860504478396614,-0.018470826163576315
7,1,0.6738738897951844,0.6386443838573698,-0.0352295059378146
7,2,0.7402533167751291,0.7363906582801407,-0.003862658494988347
7,3,0.7348582190357893,0.7440512815224501,0.009193062486660852
7,4,0.764172454742866,0.7146184866830232,-0.0495539680598428
7,5,0.664711330011454,0.7426271561178843,0.07791582610643033
7,6,0.7163591659079245,0.7506491074136747,0.034289941505750265
7,7,0.729242458396896,0.7672775702882333,0.03803511189133724
7,8,0.7449960141233671,0.7118871618246942,-0.033108852298672886
9,1,0.6870611724223988,0.67043671094859425,-0.016624461473804586
9,2,0.7593983171920586,0.696434597914767,-0.06296371927729161
9,3,0.6994160903147217,0.7266433744158624,0.027227284101140614
9,4,0.7436526882411985,0.7391701339986199,-0.004482554242578596
9,5,0.7244525517614101,0.7173563684370866,-0.007096183324323491
9,6,0.7674198274521596,0.744288945168392,-0.023130882283767695
9,7,0.7381542873124162,0.7686110432321859,0.030456755919769707
9,8,0.7680319491102973,0.7462198789274127,-0.021812070182884558
11,1,0.6890708713526901,0.7611381537400311,0.07206728238734106
11,2,0.7617524913088901,0.7315404201054918,-0.030212071203398305
11,3,0.7483092045243203,0.7377921216840777,-0.010517082840242553
11,4,0.7135026599186772,0.7469492596623339,0.03344659974365671
11,5,0.7517408485378145,0.750019146802654,-0.001721701735160508
11,6,0.7532820859877498,0.6962636102639319,-0.05701847572381791
11,7,0.7558518195140989,0.6899087412646869,-0.06594307824941192
11,8,0.7302115824724841,0.7335903039656823,0.003378721493198178
13,1,0.6689550222264733,0.7291975597409307,0.060242537514457406
13,2,0.6962923527881245,0.6279576358549164,-0.06833471693320814
13,3,0.6997826431855326,0.6998008333805235,1.81901949908303e-5
13,4,0.6502114296106664,0.7239455803601444,0.07373415074947809
13,5,0.7073082963178203,0.6599585374718322,-0.04734975884598813
13,6,0.6584331118248479,0.6984736711537756,0.040040559328927694
13,7,0.714077658470396,0.6633706366837895,-0.050707021786606465
13,8,0.7135273958041222,0.7229367089993787,0.009409313195256508
15,1,0.7850627231190593,0.7541955732094332,-0.030867149909626135
15,2,0.7876817250242949,0.7276300536514503,-0.06005167137284462
15,3,0.7447450986254072,0.7007912053600952,-0.04395389326531196
15,4,0.7434249702864693,0.6948836944649752,-0.048541275821494034
15,5,0.7741670783780734,0.754763178823705,-0.019403899554368387
15,6,0.8124112071654868,0.7534459977032417,-0.05896520946224504
15,7,0.7263573419377068,0.7158942321562813,-0.010463109781425506
15,8,0.7562843953190037,0.7719606667423905,0.01567627142338679
17,1,0.5739560523532605,0.5541385744450215,-0.019817477908239067
17,2,0.5919317736505219,0.6060317605981577,0.014099986947635812
17,3,0.6980894785815925,0.5618079686276078,-0.1362815099539847
17,4,0.5633692504954283,0.5621996991462129,-0.0011695513492153697
17,5,0.7017165075787604,0.5516598629737852,-0.15005664460497514
17,6,0.6223524786221434,0.6746893671844179,0.052336888562274475
17,7,0.5859065403744657,0.6396888352381087,0.053782294863643054
17,8,0.6858279112018986,0.48790148469038624,-0.19792642651151232
19,1,0.6115502650437238,0.6049058932716558,-0.006644371772068003
19,2,0.6970630037933437,0.665487438742258,-0.03157556505108572
19,3,0.7156012603914828,0.6697647400460277,-0.045836520345455045
19,4,0.7373873463614686,0.7214369837088414,-0.01595036265262728
19,5,0.7153648877122846,0.792598032930587,0.07723314521830238
19,6,0.7227801704477514,0.6954678527970043,-0.027312317650747153
19,7,0.7264146530079602,0.7488522394649965,0.022437586457036307
19,8,0.748542228910818,0.7107922401956412,-0.03774998871517676
21,1,0.6939170593729144,0.7414210532460901,0.04750399387317572
21,2,0.652272746851688,0.7228338400290572,0.07056109317736914
21,3,0.6660656600797246,0.734413115377832,0.06834745529810748
21,4,0.6934528976037038,0.6249330605139559,-0.06851983708974785
21,5,0.6342166892694657,0.7267463279282975,0.09252963865883179
21,6,0.6670211365287688,0.6126756805081992,-0.054345456020569616
21,7,0.6624724754108411,0.5756206525180558,-0.08685182289278526
21,8,0.71979615079243,0.6029148031842386,-0.11688134760819135
23,1,0.6842121840543213,0.7831216548939886,0.09890947083966728
23,2,0.6711545068735403,0.7508279798021376,0.07967347292859728
23,3,0.687560570028324,0.6988766736228166,0.011316103594492533
23,4,0.6790351632206683,0.7506439700162222,0.07160880679555393
23,5,0.7111606899741986,0.722336853965106,0.011176163990907484
23,6,0.6639774361447841,0.7135550861874337,0.04957765004264958
23,7,0.7748155599623798,0.7025063096535398,-0.07230925030884006
23,8,0.51585423162481,0.7129460002630418,0.19709176863823175
