subjnum,TaskOrder,trial_num,trial_id,condition,block_Norm,p_efficient,p_engaged,n_fix
1,VST_first,2,1_2_34,VD,1,0.4701213553536622,0.5298786446463378,5
1,VST_first,3,1_2_35,CD,1,0.11907180793883893,0.880928192061161,3
1,VST_first,4,1_2_36,VD,1,0.11781883978768927,0.8821811602123107,4
1,VST_first,5,1_2_37,VD,1,0.5180700328528033,0.4819299671471967,2
1,VST_first,6,1_2_38,CD,1,0.1495135840484447,0.8504864159515553,4
1,VST_first,7,1_2_39,VD,1,0.31899864956265006,0.68100135043735,4
1,VST_first,8,1_2_40,CD,1,0.5880473398609489,0.411952660139051,4
1,VST_first,9,1_2_41,VD,1,0.3379577242659846,0.6620422757340154,4
1,VST_first,10,1_2_42,CD,1,0.23064278010628567,0.7693572198937143,3
1,VST_first,11,1_2_43,CD,1,0.3856611297973248,0.6143388702026752,5
1,VST_first,12,1_2_45,VD,1,0.12968548080746622,0.8703145191925338,3
1,VST_first,13,1_2_46,CD,1,0.12468326953498576,0.8753167304650142,4
1,VST_first,14,1_2_47,VD,1,0.39374095677121546,0.6062590432287844,3
1,VST_first,15,1_2_48,VD,1,0.3811294607240622,0.6188705392759378,4
1,VST_first,16,1_2_49,CD,1,0.5905747882911225,0.40942521170887747,4
1,VST_first,17,1_2_50,CD,1,0.5481572903308894,0.45184270966911055,3
1,VST_first,18,1_2_51,VD,1,0.5262503545619117,0.4737496454380883,3
1,VST_first,19,1_2_52,CD,1,0.12058629263151713,0.8794137073684829,3
1,VST_first,22,1_2_55,CD,1,0.40323764654832395,0.596762353451676,4
1,VST_first,23,1_2_56,CD,1,0.4718103836245429,0.5281896163754571,4
1,VST_first,24,1_2_57,VD,1,0.13456097788444354,0.8654390221155565,4
1,VST_first,25,1_2_58,VD,1,0.34903158216234353,0.6509684178376565,5
1,VST_first,26,1_2_59,CD,1,0.3085188218774175,0.6914811781225825,4
1,VST_first,27,1_2_60,VD,1,0.16083995354558064,0.8391600464544193,4
1,VST_first,28,1_2_61,VD,1,0.3360217273287949,0.6639782726712051,4
1,VST_first,29,1_2_62,CD,1,0.11259101412410967,0.8874089858758903,4
1,VST_first,30,1_2_63,CD,1,0.5145284173108647,0.48547158268913526,2
